Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type,Property Type - Self Selected,Year Built,Energy Audit Due Date,Energy Audit Status,2020 Benchmark Status,2020 Reason for Exemption,2019 Benchmark Status,2019 Reason for Exemption,2018 Benchmark Status,2018 Reason for Exemption,2017 Benchmark Status,2017 Reason for Exemption,2016 Benchmark Status,2016 Reason for Exemption,2015 Benchmark Status,2015 Reason for Exemption,2014 Benchmark Status,2014 Reason for Exemption,2013 Benchmark Status,2013 Reason for Exemption,2012 Benchmark Status,2012 Reason for Exemption,2011 Benchmark Status,2011 Reason for Exemption,2020 ENERGY STAR Score,2020 Site EUI (kBtu/ft2),2020 Source EUI (kBtu/ft2),2020 Percent Better than National Median Site EUI,2020 Percentage Better than National Median Source EUI,2020 Weather Normalized Site EUI (kBtu/ft2),2020 Weather Normalized Source EUI (kBtu/ft2),2019 ENERGY STAR Score,2019 Site EUI (kBtu/ft2),2019 Source EUI (kBtu/ft2),2019 Percent Better than National Median Site EUI,2019 Percentage Better than National Median Source EUI,2019 Weather Normalized Site EUI (kBtu/ft2),2019 Weather Normalized Source EUI (kBtu/ft2),2018 ENERGY STAR Score,2018 Site EUI (kBtu/ft2),2018 Source EUI (kBtu/ft2),2018 Percent Better than National Median Site EUI,2018 Percent Better than National Median Source EUI,2018 Weather Normalized Site EUI (kBtu/ft2),2018 Weather Normalized Source EUI (kBtu/ft2),2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percent Better than National Median Source EUI,2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percent Better than National Median Source EUI,2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percent Better than National Median Source EUI,2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/ft2),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
6473/047,5767 MISSION ST,5767 MISSION ST,94112,11952,Commercial,Arts & Culture,1964,2014-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0340/004,Hotel Metropolis,25 MASON,94102,47619,Commercial,Hotel,1911,2020-04-01 0:00:00,Pending - Contracted,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,,,,,,,,,,,,,,,12,98.8,164.9,43.7,43.7,98.8,164.9,18,103.6,185.3,36.4,36.4,104.4,187.6,14,108.5,193.5,43.4,43.4,109.7,197.2,12,108.5,197.2,47,47,108.5,197.2,9,108.1,205.4,56.9,56.9,109.2,209,11,112.2,212.4,51.4,51.4,112.2,212.4,24,93.6,178.7,26.9,26.9,99,184.3,,,,,,,
8711/028,1201 04TH ST,1201 4TH ST,94158,165346,Mixed Residential,Multifamily Housing,2009,,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,51.1,95.3,-0.2,-0.2,,,49,52.4,96.3,0.1,0.1,53,96.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5900A/025,801 SILVER AVE,801 SILVER AVE,94134,192248,Mixed Residential,,1927,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030/012,Petco Building,2598 TAYLOR ST,94133,14400,Commercial,Retail Store,1986,2019-04-01 0:00:00,Pending - Waiting for Clarification,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,16.8,47.1,-60.8,-60.8,16.8,47.1,,44.2,123.8,3.1,3.1,44.2,123.8,,87.9,246.2,105.1,105.1,87.9,246.2,,96.8,271,125.8,125.8,96.8,271,,,,,,,,,,,,,,,,8.7,26.7,-76.7,-76.7,8.7,26.7,,27.2,84.6,-64.4,-64.4,27.2,84.6,,,,,,,,,,,,,,
1450/019A,5420 Geary,5420 GEARY BLVD,94121,10250,Commercial,Retail Store,1923,2020-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,43.2,94.3,-21.4,-21.4,43,94,,42.8,92.3,-23.1,-23.1,42.7,92,,43.2,91.9,-23.4,-23.4,43.2,91.9,,44.2,104.4,-8.8,-8.8,44.2,104.4,,46.3,111.3,-2.7,-2.7,46.3,111.3,,47.9,115,0,0,47.7,114.2,,48.6,114.8,0.3,0.3,48.6,114.8,,46.5,120.7,5.5,5.5,46.9,121.9,,,,,,,,,,,,,,
3788/020,601 3RD ST,601 3RD ST,94107,14170,Commercial,Office,1920,2019-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,40.6,78.7,-5.9,-5.9,47.2,83.7,40,50.9,92.6,13.2,13.2,55.4,97.3,62,42.1,74.5,-14.9,-14.9,42.6,75,98,35.6,72.3,-61.6,-61.6,39.2,76,96,39.3,80,-57.2,-57.2,48.3,90.6,97,36.9,78,-59,-59,38.4,79.6,96,38.7,80,-57.3,-57.3,44.2,85.8,95,39.7,85,-55.7,-55.7,40,85.3,,,,,,,,,,,,,,
3762/003,428 3RD ST,428 3RD ST,94107,10800,Commercial,Other - Services,1917,2019-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,,8.2,16.2,-83.3,-83.3,8.8,16.8,,12.1,25.5,-73.7,-73.7,12.3,25.2,,11.6,24.3,-74.9,-74.9,11.6,24.3,,25.4,56,-44.2,-44.2,25.4,56,,30.4,73.2,-27.1,-27.1,32.5,75.4,,29,71,-29,-29,29.4,71.6,,27.1,70.1,-30.2,-30.2,28.9,72,,34.2,80,-20.3,-20.3,34.3,80.2,,,,,,,,,,,,,,
3705/039,Hotel Zetta,55 5TH ST,94103,105905,Commercial,Hotel,1913,2020-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Change in Ownership,Exempt,Change in Ownership,Exempt,Change in Ownership,,38.3,86.8,-43.8,-43.8,38.3,86.8,64,60.5,137,-11.6,-11.6,60.2,136.3,72,60.1,134.3,-18.4,-18.4,60.1,134.4,68,58.3,145.7,-15.9,-15.9,58.4,145.3,68,56.6,142.7,-16.4,-16.4,57.5,143.4,43,59.9,154.3,6,6,59.7,153,40,61.1,155.4,9.2,9.2,58.5,147,70,48.5,122.7,-17.9,-18,50.4,128.7,,,,,,,,,,,,,,
0106/001,201 Filbert,201 FILBERT ST,94133,44050,Commercial,Office,1984,2019-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,47.3,99.1,-28.5,-28.5,49.9,101.9,47,69.4,144.2,3.9,3.9,70.7,145.6,31,74.5,157.1,27.1,27.1,74.2,156.7,62,61.9,144.2,-13.2,-13.2,63,145.3,55,64.3,153.4,-5.6,-5.6,65.8,155.1,49,68.3,166.2,0,0,68.5,165.1,51,64.5,160.4,-1.8,-1.8,65.2,159.3,53,65.6,160.7,-4.1,-4.2,65.7,160.8,52,67.9,175.6,-2.2,,67.5,175.1,,,,,,,
3554/007,3000 16th Street,3000 16TH ST,94103,17810,Commercial,Office,1910,2020-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Exempt,Tenant Turnover,Exempt,,Exempt,Vacancy,Exempt,Tenant Turnover,Exempt,,Exempt,,Exempt,SqFt Not Subject This Year,,18.9,52.5,-27.3,-27.3,18.9,52.5,88,22.3,60,-48.5,-48.5,22.4,60.2,,13.7,35.9,-69.2,-69.2,13.7,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0653/022,2034 Fillmore St,2034 FILLMORE ST,94115,10500,Commercial,Office,1900,2021-04-01 0:00:00,Did Not Comply,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,,Exempt,,Exempt,,Exempt,,Exempt,,,47.9,105.2,-32.8,-32.8,48.7,106.1,54,71.9,161,2.4,2.4,72.3,161.4,85,28.2,76.4,-44,-44,28.2,76.4,55,60.7,157.1,-5.7,-5.7,61.3,157.7,57,58.6,151.3,-8,-8,59.4,152.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0285/014,645 BUSH ST,645 BUSH ST,94108,69143,Mixed Residential,Multifamily Housing,1911,,,Complied,,Complied,,Violation - Did Not Report,,,,,,,,,,,,,,,,,32,43.1,-49,-49,35.3,46.6,100,28.8,39,-54.9,-54.9,30.7,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7083/010,Nineteenth Avenue Self-Storage,4050 19TH AVE,94132,31000,Commercial,Self-Storage Facility,1993,2018-04-01 0:00:00,Complied,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Change in Ownership,Complied,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,13.7,38.4,-19.7,-19.7,13.7,38.4,61,13.1,36.6,-18.2,-18.2,13.1,36.6,,,,,,,,,,,,,,,71,11.8,37.1,-29.8,-29.8,11.2,35.1,70,11.2,35.1,-27.7,-27.8,11.5,36.3,68,11.4,38,-25.2,,11.6,38.8,,,,,,,
7309/001,1 ACEVEDO AVE,1 ACEVEDO AVE,94132,117071,Mixed Residential,Multifamily Housing,1942,,,Violation - Insufficient Data,,Complied,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,77,37.7,50.9,-18.3,-18.3,37.7,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3776/008,566 03RD ST,574 3RD ST,94107,114400,Multifamily,,1907,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0241/012,680 CALIFORNIA ST,680 CALIFORNIA ST,94108,34850,Commercial,Other,1906,2012-11-15 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0196/028,700 MONTGOMERY ST,700 MONTGOMERY ST,94111,11455,Commercial,Office,1900,2020-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,13,34.2,-62.6,-62.6,14.1,37.4,93,14.3,39.2,-57.2,-57.2,15,41.1,89,13.5,37.7,-50.7,-50.7,13.3,37.2,98,11.9,37.2,-64.4,-64.4,11.9,37.2,90,17.8,56,-44.7,-44.7,17.8,56,87,19.8,62.2,-41,-41,19.8,62.2,85,22.1,62.4,-38.7,-38.7,22.1,62.4,90,18.6,58.3,-45.1,-45.2,18.6,58.3,,,,,,,,,,,,,,
0580/012,2298 PACIFIC AVE,2298 PACIFIC AVE,94115,59207,Multifamily,,,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0303/006,760 GEARY ST,760 GEARY ST,94109,89162,Mixed Residential,Multifamily Housing,1923,,,Complied,,Complied,,Violation - Did Not Report,,,,,,,,,,,,,,,,,20,32.3,-59.1,-59.1,20.4,33.3,100,20,31.4,-61.1,-61.1,20,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0288/010,222 Kearny Street,222 KEARNY ST,94108,181046,Commercial,Office,1987,2023-04-01 0:00:00,Upcoming,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,,,,,,,,,,,,,,,91,34.7,83.8,-52.3,-52.3,34.9,84.3,85,37.1,90.5,-42.8,-42.8,36.8,88.6,97,32.2,85.7,-59.8,-59.8,32.8,86.5,99,29,78.1,,,29.4,78.6,100,23.8,65.5,-70.1,-70.1,24.6,66.5,,,,,,,,90,43.8,126.2,-45.3,,43.4,125.7,99,27.9,,-67.9,,27.1,
0210A/002,950 STOCKTON ST,950 STOCKTON ST,94108,196237,Mixed Residential,,1970,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3708/023,40J-Student Services Center,40 JESSIE ST,94105,40424,Commercial,Office,1913,2018-04-01 0:00:00,Complied,Violation - Did Not Report,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,,,,,,,,,,,,,,,100,11.7,32.1,-80.9,-80.9,11.3,31.2,100,10.2,30.1,-85,-85,10.2,30.1,100,11.2,31.5,-84,-84,11.2,31.5,97,26,80.2,-60,-60,26,80.2,90,35.9,109,-44.9,-44.9,36.2,109.3,92,35.2,105.2,-48,-48,35.2,105.2,86,41.7,124,-39.9,,41.7,124,,,,,,,
0176/007,801 Montgomery,801 MONTGOMERY ST,94133,36838,Commercial,Office,1987,2021-04-01 0:00:00,Pending - Contracted,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,58.2,151.5,12.8,12.8,58.2,151.5,29,72.5,195.1,31.5,31.5,73.9,196.5,23,70.4,190.5,43.1,43.1,70.8,191,33,69.8,213.6,18.9,18.9,70.5,214.3,26,74.6,229.5,30.3,30.3,74.6,229.5,30,71.6,222.5,24,24,71.7,222.7,31,69.7,215.3,21.8,21.8,70.5,216.2,48,59.7,184.6,1.9,1.9,59.7,184.6,,42.1,132.1,-38.1,,43.3,137.5,,,,,,,
0259/026,555 California,555 CALIFORNIA ST,94104,1978104,Commercial,Office,1969,2025-04-01 0:00:00,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,,63,130.9,-23.3,-23.3,66.6,135.2,62,80,166,-15.3,-15.3,81.7,168,58,75.4,161.7,-10.6,-10.6,75.1,161.3,78,75.2,177.7,-29.5,-29.5,76.4,179.1,77,75.9,179.7,-28,-28,78.2,182.6,69,87.7,205.7,-20,-20,87.1,203.7,68,83.4,204.7,-19.4,-19.4,85,206.5,,,,,,,,71,91.7,234,-20.6,,86.6,227.8,70,96.7,,-19.1,,91,
3517/035,1401 HOWARD ST,1401 HOWARD ST,94103,49011,Commercial,Office,1902,2021-04-01 0:00:00,Pending - Waiting for Clarification,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,,15.8,24.9,-79.6,-79.6,16.5,25.7,100,15.5,26.1,-78.7,-78.7,15.7,26.3,,15.8,26.8,-75.6,-75.6,16.6,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0058/001,SWL 318 - RoundHouse 2,10 Lombard Street,94111,11169,Commercial,Office,1914,2099-04-01 0:00:00,Exempt - Municipal,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,,,92.5,183.8,24.2,24.2,106.3,198.3,25,110.2,204,37.4,37.4,117.7,211.7,25,100.7,186.9,37.7,37.7,99.9,186.1,26,101.9,211.4,30,30,109.6,219.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084/010,The Coronet,3575 GEARY BLVD,94118,259982,Mixed Residential,,2011,,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Insufficient Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3774/074,"60 Federal Street, LLC",58 FEDERAL ST,94107,99522,Commercial,College/University,1912,2018-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,9.7,23.6,-86.9,-86.9,10.6,24.5,,16.4,38.1,-78.9,-78.9,17.5,39.9,,16.3,38.2,-78.8,-78.8,16.5,38.4,,18.9,45.4,-82.7,-82.7,20.1,46.6,,19.1,47.1,-82.1,-82.1,20.9,48.9,,18.3,47.6,-82,-82,18.9,48.2,,20.9,55.4,-78.9,-78.9,22.9,57.4,,22.4,56.4,-78.6,-78.5,22.5,56.4,,23.5,62.3,-77.4,,23.8,62.5,,24.8,,-72.6,,24.4,
0311/015,One Post Street,600 MARKET ST,94104,466031,Commercial,Office,1969,2023-04-01 0:00:00,Upcoming,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,,,,,,95,39.9,89.8,-61.1,-61.1,41.7,91.9,91,43.3,99.7,-54,-54,42.9,99.1,96,43.3,115.1,-58.2,-58.2,44.7,116.8,96,43.4,117.8,-55.8,-55.8,45.7,120.6,91,50,134.2,,,50.9,134.2,91,47.8,127.9,-46.6,-46.6,49.9,130.3,92,50.1,126.9,-47.9,-47.9,50.3,127.2,92,50.1,133.3,-48.7,,48.9,131.8,91,52,,-47,,49.5,
6901/001A,2499 Ocean Ave,2499 OCEAN AVE,94127,34875,Commercial,Office,1977,2020-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,62.6,107.5,-18.4,-18.4,63.3,108.3,74,55.1,97.7,-26.2,-26.2,55.1,97.7,69,58.6,106.2,-21.1,-21.1,58.6,106.2,69,67.3,146.4,-17.8,-17.8,68.3,147.5,69,63.1,144.6,-17.9,-17.9,63.1,144.6,74,52.9,136.2,-23,-23,53.3,136.1,70,57.7,142.3,-19.4,-19.4,60,144.6,70,65.2,151.6,-19,-19,63.9,150.3,71,66.7,170.3,-18.9,,66.8,170.4,,,,,,,
7333/001,400 VIDAL DR,400 VIDAL DR,94132,59901,Mixed Residential,Multifamily Housing,1942,,,Violation - Insufficient Data,,Complied,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,93,32,45.3,-32.7,-32.7,32,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3782/003,Dolby Labs Headquarters,999 BRANNAN ST,94103,173292,Commercial,Office,1986,2018-04-01 0:00:00,Complied,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,Change in Ownership,Complied,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,81,80.5,175.7,-39,-39,80.5,175.7,97,43.2,96.4,-66,-66,41.9,92.7,,3,8.5,-96.9,-96.9,,,,,,,,,,62,78.3,233.8,-13.1,-13.1,79.1,234.7,58,85.3,250,-9.4,-9.4,85.8,252.7,73,86.8,266.4,-20.7,,86.8,268,74,86.6,,-21.7,,85.8,
0618/002,Van Ness Capital Group LLC,1801 VAN NESS AVE,94109,23340,Commercial,Office,1920,2020-04-01 0:00:00,Did Not Comply,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,43,31.7,88.8,9,9,31.7,88.8,77,35.5,111.3,-28.5,-28.5,35.5,111.3,72,40.7,122.2,-23,-23,40.3,120.8,70,43.8,124.2,-20.6,-20.6,46.1,125.6,70,47.6,126.9,-21.1,-21.1,48,127.3,,,,,,,,,,,,,,
0582/006,2400 PACIFIC AVE,2400 PACIFIC AVE,94115,50700,Mixed Residential,,1932,,,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3705/004,Mosser Hotel,54 4TH ST,94103,50625,Commercial,Hotel,1914,2021-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,,,,,,,,,,,,,,,,30,125.5,172.6,17.6,17.6,125.5,172.6,22,142.9,185.5,26.5,26.5,142.9,185.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0276/007,1006 BUSH ST,1006 BUSH ST,94109,68738,Mixed Residential,,1907,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0111/003,LPF 1050 Battery,1050 BATTERY ST,94111,35649,Commercial,Office,1907,2018-04-01 0:00:00,Pending - Contracted,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,29.3,54.7,-55.6,-55.6,31.8,57.3,,49.1,88.5,-38.9,-38.9,49.7,88.3,77,47.3,85.8,-33.8,-33.8,47,85.5,89,53.6,106.2,-43.4,-43.4,55.1,107.2,90,48.7,101.3,-45,-45,51.3,104,86,49.9,105.6,-40,-40,50.6,105.6,84,53.7,107.8,-37.5,-37.5,53.1,105.9,89,43.8,100.7,-43,-43.1,43.9,100.9,85,49.5,115.9,-38.3,,48.2,114.6,,,,,,,
3777/073,548 BRANNAN ST,548 BRANNAN ST,94107,177530,Mixed Residential,Multifamily Housing,2003,,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,28.5,50.1,-24.2,-24.2,30.5,52.1,96,27.2,46.8,-31.2,-31.2,28,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3763/009,420 Bryant,420 BRYANT ST,94107,12900,Commercial,Office,1922,2019-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Exempt,Vacancy,Complied,Exempt - 2017 (Became Vacant),Complied,,Exempt,Tenant Turnover,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,54.2,151.3,-13.7,-13.7,54.2,151.3,87,33.9,91.4,-47.9,-47.9,34.3,91.8,96,19.6,52.6,-62.2,-62.2,19.6,52.6,,,,,,,,94,25.8,76.1,-52.1,-52.1,25.8,76.1,89,29.4,91.5,-44,-44,29.4,91.5,,,,,,,,96,27.8,70.5,-57.6,-57.6,27.8,70.5,,,,,,,,,,,,,,
2636/001,1530 05TH AVE,1530 5TH AVE,94131,68044,Mixed Residential,Multifamily Housing,1950,,,Complied,,Complied,,Violation - Insufficient Data,,,,,,,,,,,,,,,,,70.4,100.1,5.4,5.4,72,101.9,20,69.9,98.9,3.2,3.2,70.2,99.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0322/012,641 OFARRELL ST,641 OFARRELL ST,94109,54320,Multifamily,Multifamily Housing,1907,,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,61,73.5,-31.6,-31.6,61,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3724/072,Intercontinental San Fransico,888 HOWARD ST,94103,564614,Commercial,Hotel,0,2023-04-01 0:00:00,Upcoming,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,,,,,,,89,73,132,-34.1,-34.1,73.6,132.7,84,68.4,138.9,-30.7,-30.7,69.2,139.7,83,68.3,142.2,,,68.8,141.9,84,68.2,141,-29.7,-29.7,69.6,140.8,84,70.2,142.3,-31,-31,69.1,142.1,,75.6,151,-6.8,,74.1,150.5,87,73.4,,-32.9,,73.4,
3573/046,2130 HARRISON ST,2130 HARRISON ST,94110,81355,Mixed Residential,,2001,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3912/003,25 Division,25 DIVISION ST,94103,48720,Commercial,Office,1950,2019-04-01 0:00:00,Complied,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,,,,,,94,19.2,52.5,-58.9,-58.9,19.2,52.5,96,17,45.7,-61.5,-61.5,17,45.8,88,65.4,93.9,-43,-43,65.4,93.9,85,67,99.6,-38.8,-38.8,67,99.6,83,62.4,102.5,-37,-37,62.4,102.5,77,66.7,113.7,-29.1,-29.1,68.1,115.1,82,67.2,108.3,-35.6,-35.6,66,107,,17.7,41,-73.9,,18.7,41.9,,,,,,,
